id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,status,price,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,lotSize
"36-Jericho-Ln,-Clayton,-GA-30525","36 Jericho Ln, Clayton, GA 30525",36 Jericho Ln,,Clayton,GA,30525,Rabun,34.86832,-83.410067,Single Family,3,4.0,1032.0,2003.0,Active,249900,2024-04-25T00:00:00.000Z,,2020-09-28T10:30:32.610Z,2024-05-01T00:00:00.000Z,7,6098.0
"20-Chimney-Rise-Ct,-Stockbridge,-GA-30281","20 Chimney Rise Ct, Stockbridge, GA 30281",20 Chimney Rise Ct,,Stockbridge,GA,30281,Henry,33.57163,-84.204556,Single Family,3,2.0,2179.0,1980.0,Active,339999,2023-07-07T00:00:00.000Z,,2020-09-29T07:18:56.196Z,2024-05-01T00:00:00.000Z,300,43560.0
"2058-Detroit-Ave-NW,-Atlanta,-GA-30314","2058 Detroit Ave NW, Atlanta, GA 30314",2058 Detroit Ave NW,,Atlanta,GA,30314,Fulton,33.766775,-84.454927,Single Family,3,2.5,1300.0,2024.0,Active,339000,2024-02-21T00:00:00.000Z,,2020-09-29T10:31:57.747Z,2024-05-01T00:00:00.000Z,71,7501.0
"3024-Grand-Ave-SW,-Atlanta,-GA-30315","3024 Grand Ave SW, Atlanta, GA 30315",3024 Grand Ave SW,,Atlanta,GA,30315,Fulton,33.6742,-84.405862,Single Family,3,2.0,1100.0,1940.0,Active,295000,2023-07-07T00:00:00.000Z,,2020-09-29T11:07:27.906Z,2024-05-01T00:00:00.000Z,300,10302.0
"76-Wildwood-Dr,-Temple,-GA-30179","76 Wildwood Dr, Temple, GA 30179",76 Wildwood Dr,,Temple,GA,30179,Carroll,33.713708,-84.99412,Single Family,3,2.0,1984.0,2002.0,Active,289000,2024-04-19T00:00:00.000Z,,2020-09-30T11:49:01.890Z,2024-05-01T00:00:00.000Z,13,20473.0
"1928-Skidaway-Rd,-Savannah,-GA-31404","1928 Skidaway Rd, Savannah, GA 31404",1928 Skidaway Rd,,Savannah,GA,31404,Chatham,32.051236,-81.065787,Single Family,3,1.0,1448.0,1970.0,Active,358000,2024-03-05T00:00:00.000Z,,2020-10-01T07:59:17.642Z,2024-05-01T00:00:00.000Z,58,17424.0
"1140-Sparkle-Ave,-Macon,-GA-31217","1140 Sparkle Ave, Macon, GA 31217",1140 Sparkle Ave,,Macon,GA,31217,Bibb,32.856531,-83.598551,Single Family,3,1.0,1200.0,1828.0,Active,65000,2023-07-28T00:00:00.000Z,,2020-10-01T09:30:48.700Z,2024-05-01T00:00:00.000Z,279,
"3176-Ohara-Dr-N,-Macon,-GA-31206","3176 Ohara Dr N, Macon, GA 31206",3176 Ohara Dr N,,Macon,GA,31206,Bibb,32.796971,-83.685011,Single Family,3,1.5,1040.0,1960.0,Active,139000,2024-03-19T00:00:00.000Z,,2020-10-01T09:58:18.882Z,2024-05-01T00:00:00.000Z,44,10890.0
"338-Alcott-Cir,-Hinesville,-GA-31313","338 Alcott Cir, Hinesville, GA 31313",338 Alcott Cir,,Hinesville,GA,31313,Liberty,31.827296,-81.631518,Single Family,3,2.5,1697.0,2019.0,Active,259900,2024-03-27T00:00:00.000Z,,2020-10-01T11:09:13.323Z,2024-05-01T00:00:00.000Z,36,6534.0
"1020-Cedar-Cir,-Forest-Park,-GA-30297","1020 Cedar Cir, Forest Park, GA 30297",1020 Cedar Cir,,Forest Park,GA,30297,Clayton,33.592512,-84.357347,Single Family,3,2.0,1242.0,1967.0,Active,250000,2024-03-07T00:00:00.000Z,,2020-10-02T09:25:12.897Z,2024-05-01T00:00:00.000Z,56,12197.0
"506-Jensen-Ln,-Augusta,-GA-30909","506 Jensen Ln, Augusta, GA 30909",506 Jensen Ln,,Augusta,GA,30909,Richmond,33.438112,-82.151575,Single Family,3,2.0,1559.0,2021.0,Active,279900,2024-01-19T00:00:00.000Z,,2020-10-02T10:50:39.583Z,2024-05-01T00:00:00.000Z,104,10019.0
"1800-E-Lake-Rd,-Mcdonough,-GA-30252","1800 E Lake Rd, Mcdonough, GA 30252",1800 E Lake Rd,,Mcdonough,GA,30252,Henry,33.5011,-84.079569,Single Family,3,2.0,1685.0,1943.0,Active,280000,2023-12-05T00:00:00.000Z,,2020-10-02T12:19:02.729Z,2024-05-01T00:00:00.000Z,149,21344.0
"1782-Vanderlyn-Dr,-Dunwoody,-GA-30338","1782 Vanderlyn Dr, Dunwoody, GA 30338",1782 Vanderlyn Dr,,Dunwoody,GA,30338,DeKalb,33.947237,-84.31519,Single Family,3,2.0,2248.0,1973.0,Active,575000,2020-10-01T00:00:00.000Z,,2020-10-02T15:49:55.283Z,2024-05-01T00:00:00.000Z,1309,17424.0
"1010-Ramey-Rd,-Trion,-GA-30753","1010 Ramey Rd, Trion, GA 30753",1010 Ramey Rd,,Trion,GA,30753,Walker,34.614875,-85.259812,Single Family,3,3.0,3138.0,2016.0,Active,474900,2023-12-27T00:00:00.000Z,,2020-10-03T06:55:05.450Z,2024-05-01T00:00:00.000Z,127,280526.0
"3190-Ridge-Hill-Pkwy,-Douglasville,-GA-30135","3190 Ridge Hill Pkwy, Douglasville, GA 30135",3190 Ridge Hill Pkwy,,Douglasville,GA,30135,Douglas,33.681208,-84.6812,Single Family,3,2.5,1800.0,2021.0,Active,328000,2023-10-20T00:00:00.000Z,,2020-10-03T09:41:00.696Z,2024-05-01T00:00:00.000Z,195,
